0.005,39.69938040781469,1.0,0.946,0.995,0.952
0.01,33.680136947091874,1.0,0.946,0.987,0.953
0.015,30.160747472015085,0.998,0.947,0.981,0.954
0.02,27.665483510167796,0.995,0.947,0.967,0.953
0.025,25.73186345173351,0.992,0.946,0.964,0.954
0.027,25.06551834511815,0.991,0.946,0.963,0.954
0.03,24.153881197519414,0.989,0.945,0.962,0.952
0.033,23.329919721239616,0.986,0.943,0.959,0.95
0.035,22.821642355745745,0.985,0.942,0.957,0.949
0.038,22.111851720906678,0.981,0.942,0.957,0.951
0.04,21.669545376235437,0.978,0.943,0.952,0.948
0.045,20.655271643921303,0.974,0.94,0.948,0.945
0.05,19.74992218364055,0.969,0.939,0.939,0.942
0.055,18.932880571378636,0.967,0.938,0.936,0.942
0.06,18.188920604613667,0.964,0.935,0.931,0.94
0.063,17.772695507134397,0.957,0.931,0.925,0.936
0.065,17.50647570096032,0.953,0.927,0.922,0.932
0.068,17.12271048622005,0.948,0.921,0.916,0.927
0.07,16.876551492213938,0.945,0.921,0.911,0.924
0.073,16.520777542494,0.94,0.918,0.907,0.921
0.075,16.2920145010272,0.941,0.916,0.903,0.921
0.078,15.960637969643514,0.935,0.915,0.902,0.917
0.08,15.74711086815326,0.928,0.914,0.895,0.912
0.085,15.237131250308177,0.917,0.91,0.884,0.91
0.087,15.042020866143782,0.914,0.908,0.88,0.908
0.09,14.758171654806304,0.907,0.9,0.875,0.906
0.093,14.484301800211586,0.903,0.895,0.869,0.903
0.095,14.30695903149151,0.902,0.892,0.863,0.901
0.097,14.133607817269825,0.901,0.889,0.856,0.899
0.1,13.880721659667554,0.891,0.884,0.855,0.895
0.15,10.596613674088433,0.788,0.802,0.752,0.823
0.16,10.092475095904643,0.766,0.779,0.736,0.804
0.17,9.624976212703993,0.746,0.759,0.718,0.78
0.18,9.19009234363216,0.721,0.736,0.696,0.756
0.19,8.784431669639002,0.699,0.716,0.68,0.736
0.2,8.405106063777115,0.682,0.704,0.657,0.712
0.21,8.049633526136864,0.665,0.688,0.642,0.691
0.22,7.715863375763848,0.639,0.674,0.62,0.672
0.23,7.401918110193108,0.615,0.642,0.596,0.648
0.43,3.6437904787062263,0.301,0.324,0.301,0.314
0.83,1.330897923585644,0.117,0.112,0.115,0.097